Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
NEO NEO NEO,"$40,50",1.6%,-9.0%,-5.8%,$348 892 253,$2 856 535 564
TerraUSD UST UST,"$1,01",0.5%,0.2%,-0.0%,$117 193 539,$2 758 078 636
Bitcoin Cash ABC BCHA BCHA,"$139,96",0.7%,-8.0%,-18.1%,$68 570,$2 614 579 480
Helium HNT HNT,"$25,48",2.3%,6.7%,14.9%,$66 232 349,$2 530 046 426
Arweave AR AR,"$49,08",1.5%,-7.6%,-11.1%,$79 933 234,$2 460 263 750
Huobi BTC HBTC HBTC,$59 328,1.2%,-5.1%,-7.7%,$7 001 503,$2 353 997 912
BitTorrent BTT BTT,"$0,003507350068",2.8%,-5.6%,-3.1%,$956 649 762,$2 310 833 292
Magic Internet Money MIM MIM,"$1,01",0.7%,0.3%,0.4%,$45 728 881,$2 157 189 586
Celo CELO CELO,"$6,61",1.6%,-14.7%,8.1%,$168 533 823,$2 156 274 217
Amp AMP AMP,"$0,043483001920",1.0%,-6.9%,-7.8%,$34 585 928,$2 089 745 868
Sushi SUSHI SUSHI,"$10,77",2.3%,-5.0%,0.0%,$588 308 704,$2 068 719 930
Maker MKR MKR,"$2 290,29",1.3%,-8.3%,-8.5%,$136 537 855,$2 064 058 043
Stacks STX STX,"$1,94",1.2%,-11.1%,-17.2%,$57 223 786,$2 044 183 922
Celsius Network CEL CEL,"$4,74",0.9%,-4.2%,-9.7%,$5 208 070,$2 005 258 515
Enjin Coin ENJ ENJ,"$2,12",1.5%,1.7%,31.7%,$664 591 948,$1 979 364 675
Holo HOT HOT,"$0,011159179811",7.7%,12.8%,20.3%,$935 234 725,$1 973 474 223
Compound COMP COMP,"$315,32",1.6%,-11.3%,2.6%,$312 620 937,$1 928 970 747
Dash DASH DASH,"$181,05",1.6%,-11.1%,-6.5%,$504 394 574,$1 879 537 430
OMG Network OMG OMG,"$13,07",1.7%,-8.5%,-7.6%,$799 787 086,$1 827 472 749
SafeMoon SAFEMOON SAFEMOON,"$0,000003143310",0.9%,5.5%,60.3%,$20 991 243,$1 801 021 248
Zcash ZEC ZEC,"$151,73",1.4%,-7.7%,5.1%,$439 074 294,$1 778 758 486
Theta Fuel TFUEL TFUEL,"$0,315821",2.7%,-4.7%,11.8%,$113 729 614,$1 727 554 134
Synthetix Network Token SNX SNX,"$9,72",2.5%,-10.7%,3.2%,$268 176 074,$1 712 082 038
Curve DAO Token CRV CRV,"$4,35",4.6%,-12.4%,55.2%,$737 722 874,$1 705 491 145
Chiliz CHZ CHZ,"$0,314374",1.7%,-8.5%,-0.8%,$598 531 347,$1 680 931 052
NEXO NEXO NEXO,"$2,81",1.2%,-2.3%,55.2%,$13 088 047,$1 569 421 557
Huobi Token HT HT,"$9,41",1.6%,-8.3%,18.7%,$124 493 578,$1 516 035 895
Decred DCR DCR,"$112,52",0.7%,-7.1%,-9.1%,$13 688 385,$1 506 765 986
NEM XEM XEM,"$0,161829",1.9%,-9.2%,-4.5%,$80 016 903,$1 446 094 616
Spell Token SPELL SPELL,"$0,019343243234",-0.6%,-17.2%,24.7%,$54 944 487,$1 394 585 635
ECOMI OMI OMI,"$0,006378003104",12.0%,5.0%,-8.6%,$17 281 342,$1 334 463 301
Secret SCRT SCRT,"$8,75",4.9%,-3.4%,88.1%,$74 145 717,$1 288 048 478
ICON ICX ICX,"$1,89",2.4%,-8.8%,-9.7%,$81 279 506,$1 270 032 412
Mina Protocol MINA MINA,"$4,57",0.4%,-8.7%,13.3%,$104 937 295,$1 267 911 280
Qtum QTUM QTUM,"$12,15",1.9%,-8.9%,-2.6%,$285 843 651,$1 260 822 426
TrueUSD TUSD TUSD,"$1,01",1.0%,0.6%,0.4%,$160 857 275,$1 260 774 202
yearn.finance YFI YFI,$34 987,0.6%,-5.8%,0.7%,$418 956 492,$1 249 453 170
Zilliqa ZIL ZIL,"$0,098519785691",2.0%,-10.4%,7.0%,$150 511 843,$1 242 791 868
KuCoin Token KCS KCS,"$15,98",1.6%,-5.5%,13.0%,$45 554 035,$1 233 344 091
Wonderland TIME TIME,"$7 555,44",2.0%,-7.0%,27.9%,$60 989 570,$1 192 214 261
XDC Network XDC XDC,"$0,094813336530",-0.4%,-8.0%,-15.8%,$9 354 498,$1 156 825 063
Osmosis OSMO OSMO,"$5,55",2.4%,-4.1%,23.0%,$21 162 459,$1 142 677 097
Telcoin TEL TEL,"$0,019168906845",1.5%,-6.9%,0.2%,$20 140 175,$1 091 898 569
Ravencoin RVN RVN,"$0,109248",1.7%,-9.9%,2.5%,$93 957 485,$1 083 842 657
Bitcoin Gold BTG BTG,"$61,71",1.4%,-9.2%,-13.5%,$14 419 722,$1 079 360 993
REN REN REN,"$1,07",1.7%,-9.2%,8.7%,$116 075 780,$1 070 781 163
Klima DAO KLIMA KLIMA,"$3 201,97",-1.1%,-3.1%,61.6%,$48 654 676,$1 065 309 829
1inch 1INCH 1INCH,"$5,84",7.1%,43.6%,56.1%,$2 167 058 760,$1 055 852 021
IOST IOST IOST,"$0,046176968256",1.6%,-9.8%,-8.2%,$257 363 462,$1 054 217 003
Nexus Mutual NXM NXM,"$152,13",0.1%,-4.9%,2.8%,$84 631,$1 049 958 938
Decentraland MANA MANA,"$0,783041",1.9%,-7.6%,1.1%,$149 453 503,$1 038 378 409
renBTC RENBTC RENBTC,$59 193,1.0%,-4.9%,-5.2%,$1 680 186,$1 029 603 467
Pax Dollar USDP USDP,"$1,00",0.5%,-0.0%,0.0%,$11 135 423,$996 821 170
Kadena KDA KDA,"$6,33",1.3%,-10.1%,128.3%,$33 711 157,$982 660 823
Basic Attention Token BAT BAT,"$0,655909",1.1%,-9.4%,-3.7%,$133 939 686,$977 457 485
Bancor Network Token BNT BNT,"$4,04",0.7%,-6.1%,-1.2%,$102 333 156,$956 029 010
Serum SRM SRM,"$6,86",1.4%,-11.5%,-3.8%,$229 119 539,$913 985 821
dYdX DYDX DYDX,"$15,97",2.0%,-13.3%,-16.9%,$426 300 450,$909 881 987
Horizen ZEN ZEN,"$76,78",2.5%,-10.8%,-1.4%,$62 113 573,$893 822 495
GateToken GT GT,"$5,56",0.8%,-0.5%,19.1%,$9 860 117,$893 535 523
Perpetual Protocol PERP PERP,"$15,90",1.0%,-6.1%,-1.8%,$103 717 925,$881 708 663
LINK LN LN,"$146,41",1.7%,-5.4%,38.2%,$7 811 237,$874 835 813
Decentralized Social DESO DESO,"$82,62",0.9%,8.3%,-5.8%,$390 893,$870 151 791
Rally RLY RLY,"$0,537016",0.4%,-5.9%,-13.5%,$8 996 212,$854 549 030
xSUSHI XSUSHI XSUSHI,"$12,70",0.3%,-6.0%,-0.9%,$3 686 786,$848 683 708
Siacoin SC SC,"$0,017164756261",1.6%,-9.4%,-7.4%,$71 544 053,$840 880 795
Audius AUDIO AUDIO,"$2,00",2.3%,-13.1%,2.4%,$34 875 361,$825 464 324
0x ZRX  ZRX,"$0,977950",2.7%,-9.5%,0.9%,$121 231 415,$823 959 571
cUSDT CUSDT CUSDT,"$0,021558332804",0.5%,-0.0%,0.1%,$2 519 844,$779 450 942
Moonriver MOVR MOVR,"$366,60",0.8%,-4.9%,37.2%,$29 365 307,$771 833 127
Ontology ONT ONT,"$0,874325",1.9%,-9.5%,-5.3%,$157 032 224,$766 053 736
Convex Finance CVX CVX,"$22,62",-1.0%,-15.2%,21.4%,$34 365 358,$747 023 467
Celer Network CELR CELR,"$0,131361",1.9%,-14.1%,-4.3%,$228 406 697,$741 733 549
UMA UMA UMA,"$11,33",-1.5%,-5.2%,-17.4%,$41 509 426,$721 058 480
Raydium RAY RAY,"$9,59",1.4%,-9.1%,1.2%,$147 217 626,$714 080 205
WOO Network WOO WOO,"$1,32",0.6%,3.4%,3.9%,$55 903 234,$702 791 309
The Sandbox SAND SAND,"$0,785139",1.8%,-7.9%,6.9%,$146 460 748,$701 329 506
Ankr ANKR ANKR,"$0,085658378899",1.4%,-8.5%,-11.1%,$78 336 259,$698 913 087
Mdex MDX MDX,"$1,07",2.0%,-7.3%,-9.7%,$25 749 340,$692 057 456
Nano NANO NANO,"$5,19",2.1%,-8.5%,-0.5%,$29 683 055,$690 614 105
DigiByte DGB DGB,"$0,046575045562",3.0%,-9.0%,-4.1%,$53 269 644,$686 043 946
Coin98 C98 C98,"$3,65",1.4%,-13.8%,7.1%,$107 338 088,$674 840 707
SKALE SKL SKL,"$0,306505",2.6%,-10.8%,-10.4%,$59 059 026,$648 316 289
Gnosis GNO GNO,"$413,80",1.0%,3.7%,22.2%,$7 474 025,$621 580 890
Liquity USD LUSD LUSD,"$0,999416",1.3%,-0.1%,0.1%,$32 855 333,$616 954 450
SwissBorg CHSB CHSB,"$0,636553",-1.1%,-4.4%,6.7%,$2 274 763,$605 883 125
WazirX WRX WRX,"$1,32",1.5%,-5.2%,1.5%,$35 173 917,$599 140 648
Livepeer LPT LPT,"$24,06",2.1%,-2.9%,-21.3%,$27 835 361,$587 503 828
Gala GALA GALA,"$0,077936849736",1.8%,-11.3%,-6.7%,$230 559 846,$587 449 410
Synapse SYN SYN,"$3,56",-4.0%,-17.7%,4.4%,$19 292 701,$583 821 435
WAX WAXP WAXP,"$0,330853",0.1%,0.6%,11.6%,$69 247 010,$581 109 776
NuCypher NU NU,"$0,956201",1.7%,-15.7%,-21.9%,$137 562 970,$577 660 399
IoTeX IOTX IOTX,"$0,060066009259",2.2%,-10.9%,-10.8%,$69 530 687,$569 786 377
Nervos Network CKB CKB,"$0,020050501488",2.1%,-10.0%,-3.6%,$31 953 568,$568 674 705
Neutrino USD USDN USDN,"$0,979792",0.6%,-0.6%,-1.2%,$25 517 562,$560 718 464
Convex CRV CVXCRV CVXCRV,"$4,25",1.3%,-12.5%,55.2%,$867 474,$557 512 529
Polymath POLY POLY,"$0,636237",1.5%,-10.5%,-13.5%,$28 993 029,$554 957 022
Fei USD FEI FEI,"$1,00",1.3%,0.2%,0.7%,$62 138 478,$553 225 008
Frax FRAX FRAX,"$1,02",2.3%,0.7%,2.4%,$17 553 603,$549 742 505
Constellation DAG DAG,"$0,219225",0.9%,-6.3%,19.2%,$6 021 276,$532 635 801
Rocket Pool RPL RPL,"$32,99",1.1%,-5.7%,4.4%,$1 360 848,$532 088 651
Dent DENT DENT,"$0,005591885170",3.5%,-7.1%,-3.6%,$110 261 615,$529 423 366
Metahero HERO HERO,"$0,112131",3.1%,-2.8%,-5.7%,$24 191 524,$528 289 110
Illuvium ILV ILV,"$830,86",0.1%,-3.3%,11.3%,$29 407 528,$527 643 157
Function X FX FX,"$1,23",1.5%,-10.4%,8.4%,$18 308 689,$517 179 603
Fetch.ai FET FET,"$0,750023",2.0%,-10.9%,4.7%,$81 904 368,$516 400 219
Lisk LSK LSK,"$3,48",1.5%,-8.7%,3.8%,$18 769 653,$502 432 477
Golem GLM GLM,"$0,501552",1.0%,-11.4%,-4.5%,$6 732 726,$501 671 055
Persistence XPRT XPRT,"$8,72",0.7%,-4.5%,10.9%,$5 315 588,$498 318 958
Reserve Rights Token RSR RSR,"$0,037873185280",2.1%,-12.3%,13.0%,$131 480 597,$496 599 584
Kava KAVA KAVA,"$5,43",2.3%,-10.1%,-1.3%,$98 916 748,$496 435 234
Yield Guild Games YGG YGG,"$5,59",2.4%,-10.2%,-7.8%,$71 531 416,$491 012 242
Loopring LRC LRC,"$0,393673",2.2%,-9.5%,-8.3%,$68 678 377,$489 027 128
Verasity VRA VRA,"$0,074973253366",1.3%,-6.6%,26.9%,$137 192 216,$488 901 970
Injective Protocol INJ INJ,"$10,99",0.5%,-11.0%,-18.3%,$42 020 073,$479 883 066
TitanSwap TITAN TITAN,"$4,75",0.5%,-4.3%,-0.9%,$564 544,$475 326 645
PLEX PLEX PLEX,"$2,23",0.8%,0.3%,6.0%,$34 723 195,$471 859 304
Radio Caca RACA RACA,"$0,002551589710",1.5%,1.8%,31.9%,$23 935 595,$459 436 496
LUKSO Token LYXE LYXE,"$30,54",2.2%,-9.2%,16.8%,$7 489 132,$454 077 454
Alpha Finance ALPHA ALPHA,"$1,01",2.1%,-8.6%,-1.4%,$35 432 155,$451 232 302
WINkLink WIN WIN,"$0,000584468624",1.9%,-7.5%,-8.3%,$128 532 542,$447 985 010
Baby Doge Coin BABYDOGE BABYDOGE,"$0,000000002407",3.0%,10.0%,35.4%,$45 448 762,$433 456 561
 Oxygen OXY OXY,"$2,13",0.4%,-4.5%,-1.0%,$776 091,$430 281 845
DigitalBits XDB XDB,"$0,560491",1.4%,-6.2%,-5.6%,$2 437 513,$425 912 066
COTI COTI COTI,"$0,486985",1.5%,-14.2%,-1.3%,$161 193 859,$421 541 139
Anchor Protocol  ANC ANC,"$3,07",0.5%,-4.2%,-0.0%,$5 442 286,$408 538 983
Energy Web Token EWT EWT,"$10,24",0.3%,-0.3%,-3.2%,$6 587 542,$405 422 672
Velas VLX VLX,"$0,182658",1.2%,4.4%,26.2%,$11 480 781,$404 789 933
Tribe TRIBE TRIBE,"$0,883090",1.0%,-3.3%,7.5%,$12 504 442,$403 282 550
Swipe SXP SXP,"$2,07",1.9%,-10.2%,-9.5%,$191 807 306,$398 339 700
VeThor Token VTHO VTHO,"$0,009567707484",0.9%,-2.2%,3.6%,$32 310 701,$397 933 474
Reef Finance REEF REEF,"$0,028878835978",1.9%,-9.2%,-7.5%,$90 190 402,$397 652 959
Unibright UBT UBT,"$2,61",0.2%,1.3%,18.6%,$1 525 607,$390 393 816
Frax Share FXS FXS,"$10,93",2.4%,-15.3%,92.1%,$34 233 804,$389 730 502
Mask Network MASK MASK,"$11,72",3.7%,22.2%,17.9%,$461 182 080,$389 283 547
Rari Governance Token RGT RGT,"$34,67",1.1%,-8.0%,-4.4%,$4 162 886,$388 916 610
OriginTrail TRAC TRAC,"$1,05",-2.0%,4.9%,57.7%,$6 177 492,$385 957 297
Ergo ERG ERG,"$8,33",-1.6%,-6.4%,-16.7%,$4 304 403,$376 397 862
Bonfida FIDA FIDA,"$7,65",1.3%,-7.4%,17.1%,$3 356 932,$375 792 405
AscendEx Token ASD ASD,"$0,505923",0.4%,-4.0%,6.9%,$631 640,$375 703 622
Bitcoin Diamond BCD BCD,"$1,98",1.1%,-10.4%,-14.5%,$5 151 608,$371 657 138
Band Protocol BAND BAND,"$8,83",2.5%,-9.3%,4.7%,$78 925 520,$366 952 374
Medibloc MED MED,"$0,068477249957",0.6%,-6.8%,-8.0%,$24 026 059,$366 869 732
Keep Network KEEP KEEP,"$0,663437",1.5%,-11.9%,-15.0%,$58 840 050,$364 623 602
Ocean Protocol OCEAN OCEAN,"$0,836601",1.5%,-10.0%,1.4%,$58 220 410,$362 902 278
Cartesi CTSI CTSI,"$0,746601",1.6%,-7.4%,0.0%,$61 730 966,$360 936 449
Trust Wallet Token TWT TWT,"$1,03",1.0%,-6.2%,-6.1%,$21 309 161,$358 242 959
Tokemak TOKE TOKE,"$62,65",0.0%,-8.5%,11.5%,$8 712 890,$357 547 116
BakerySwap BAKE BAKE,"$1,85",1.1%,-10.2%,-8.4%,$58 116 967,$356 280 443
Pundi X PUNDIX PUNDIX,"$1,36",1.3%,-10.2%,-8.2%,$10 574 906,$353 860 617
Pirate Chain ARRR ARRR,"$1,88",1.3%,-4.1%,-10.6%,$1 470 851,$353 720 756
Verge XVG XVG,"$0,021444590770",1.4%,-9.3%,-9.7%,$27 090 749,$353 700 045
sETH SETH SETH,"$3 979,48",0.6%,-4.8%,2.8%,$27 205 011,$343 073 894
TrueFi TRU TRU,"$0,686944",1.7%,14.5%,14.0%,$62 947 474,$342 206 145
FEG Token FEG FEG,"$0,000000008131",9.1%,21.8%,33.9%,$12 335 145,$336 034 246
Dogelon Mars ELON ELON,"$0,000000609491",-3.0%,-1.5%,16.8%,$84 080 087,$335 003 817
Sapphire SAPP SAPP,"$0,473314",0.8%,-5.3%,-3.8%,$673 303,$332 587 595
XYO Network XYO XYO,"$0,027848224380",2.0%,-8.4%,-12.9%,$22 595 094,$331 448 125
Popsicle Finance ICE ICE,"$29,06",0.1%,-6.3%,10.4%,$19 083 783,$331 270 514
DODO DODO DODO,"$1,45",1.8%,-9.6%,-6.7%,$106 151 158,$330 589 985
Status SNT SNT,"$0,084241114727",0.6%,-7.2%,-4.7%,$15 300 726,$326 935 974
Orbs ORBS ORBS,"$0,113605",1.9%,-7.3%,-5.8%,$14 583 355,$323 491 157
PAX Gold PAXG PAXG,"$1 802,93",0.6%,-0.1%,1.1%,$8 173 875,$322 897 829
SingularityNET AGIX AGIX,"$0,333258",0.8%,-5.5%,9.2%,$4 092 823,$322 312 792
Tokamak Network TON TON,"$8,14",0.3%,-9.8%,-6.6%,$25 926 704,$322 082 096
Conflux CFX CFX,"$0,315692",4.7%,-6.9%,-5.0%,$24 654 971,$321 349 746
YooShi YOOSHI YOOSHI,"$0,000000877519",2.3%,17.1%,164.3%,$7 694 720,$320 757 876
Alchemix ALCX ALCX,"$408,18",0.4%,-9.4%,12.7%,$28 042 695,$317 115 986
Pundi X [OLD] NPXS NPXS,"$0,001321433934",0.8%,-4.3%,-1.4%,"$4 234,65",$310 726 985
EDEN EDEN EDEN,"$3,57",2.1%,-10.9%,15.9%,$22 014 571,$310 529 544
Venus XVS XVS,"$27,08",1.7%,-7.3%,-10.8%,$36 232 231,$308 219 914
Vectorspace AI VXV VXV,"$8,05",11.2%,-4.9%,-16.8%,$4 400 670,$305 995 896
JOE JOE JOE,"$2,77",1.7%,-17.3%,-7.0%,$26 682 497,$300 363 306
HUSD HUSD HUSD,"$1,00",0.6%,-0.3%,-0.1%,$219 375 861,$298 422 127
Ardor ARDR ARDR,"$0,297774",1.0%,-11.8%,-6.6%,$19 884 257,$296 969 991
Mirror Protocol MIR MIR,"$2,85",0.6%,-6.3%,-3.1%,$35 545 963,$296 609 311
Samoyedcoin SAMO SAMO,"$0,094761622407",2.4%,30.3%,500.7%,$30 224 377,$296 504 061
Prometeus PROM PROM,"$17,98",0.7%,-7.0%,-3.6%,$18 678 317,$295 941 985
Akash Network AKT AKT,"$2,56",1.9%,-7.5%,-10.6%,$5 101 254,$291 295 544
Civic CVC CVC,"$0,434293",2.0%,-11.1%,-8.1%,$50 516 825,$290 878 121
Electroneum ETN ETN,"$0,016243616851",0.3%,-8.6%,-14.9%,$1 156 903,$289 969 705
Chia XCH XCH,"$137,78",1.9%,-8.8%,-8.7%,$28 016 429,$286 999 176
BTC Standard Hashrate Token BTCST BTCST,"$38,93",2.2%,-9.2%,-17.6%,$61 538 556,$284 654 364
Mango Markets MNGO MNGO,"$0,280846",0.2%,-4.8%,16.6%,$6 184 421,$282 652 046
UFO Gaming UFO UFO,"$0,000010916142",-0.1%,-7.4%,60.5%,$2 548 891,$281 173 343
Beta Finance BETA BETA,"$1,72",-1.5%,-4.3%,-22.3%,$28 422 568,$280 891 326
Proton XPR XPR,"$0,033454396017",-1.9%,-13.1%,-29.0%,$35 259 879,$280 613 083
Origin Protocol OGN OGN,"$0,775208",1.5%,-10.4%,-7.3%,$68 284 941,$278 818 156
iExec RLC RLC RLC,"$3,90",2.0%,-9.7%,-9.9%,$33 263 466,$276 987 370
sBTC SBTC SBTC,$58 777,0.1%,-5.5%,-8.9%,$185 234,$273 231 262
Balancer BAL BAL,"$24,83",1.8%,1.3%,12.7%,$196 047 238,$268 097 488
Casper Network CSPR CSPR,"$0,107445",3.5%,-9.3%,-2.0%,$32 932 439,$266 255 625
Hive HIVE HIVE,"$0,731571",1.7%,-9.7%,-5.5%,$7 952 760,$264 496 805
Oasis Network ROSE ROSE,"$0,176265",2.4%,-5.6%,-7.8%,$40 563 795,$264 352 033
TON Crystal TON TON,"$0,407587",0.1%,0.7%,9.0%,$2 474 655,$264 184 630
Telos TLOS TLOS,"$1,08",0.3%,-2.6%,22.6%,$4 184 717,$262 219 465
Badger DAO BADGER BADGER,"$26,42",0.6%,-13.4%,-6.0%,$29 635 288,$261 910 589
AllianceBlock ALBT ALBT,"$0,830374",1.7%,-0.3%,17.4%,$8 982 022,$257 900 767
Bifrost BFC BFC,"$0,258735",0.6%,-11.3%,-5.1%,$31 637 303,$253 358 605
NKN NKN NKN,"$0,389661",2.0%,-11.1%,-17.2%,$29 983 257,$253 260 601
StormX STMX STMX,"$0,027000039262",1.3%,-13.8%,-12.3%,$21 080 953,$250 592 177
Thorstarter XRUNE XRUNE,"$0,419450",7.6%,-2.2%,120.3%,$483 528,$249 531 549
Alchemix USD ALUSD ALUSD,"$0,996724",-0.2%,-1.0%,-0.2%,$57 701,$249 316 925
Bounce AUCTION AUCTION,"$34,70",2.8%,-11.8%,1.6%,$33 692 949,$249 157 399
DeFi Kingdoms JEWEL JEWEL,"$4,89",-2.5%,-7.6%,298.4%,$18 295 050,$247 664 569
Orion Protocol ORN ORN,"$7,82",4.2%,-4.9%,-0.9%,$18 313 158,$245 930 305
MaidSafeCoin MAID MAID,"$0,541307",-0.1%,-6.8%,11.2%,$2 140 726,$245 073 564
Anyswap ANY ANY,"$14,27",0.7%,-1.2%,26.9%,$13 582 356,$244 950 743
aelf ELF ELF,"$0,528930",-1.3%,-10.9%,-10.0%,$22 695 490,$244 100 367
Numeraire NMR NMR,"$41,51",0.4%,-5.1%,-3.8%,$15 839 577,$242 624 257
Orchid Protocol OXT OXT,"$0,407883",0.3%,-9.3%,-19.9%,$28 274 182,$241 864 643
SuperRare RARE RARE,"$1,67",-0.8%,-12.9%,-29.8%,$23 439 047,$238 020 506
